Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
24 0.000000e+00 1.098835e-69 5.144388e-95
25 0.000000e+00 1.766092e-72 8.268264e-98
26 0.000000e+00 3.986645e-75 1.866417e-100
27 0.000000e+00 3.415780e-78 1.599156e-103
28 0.000000e+00 2.832979e-81 1.326308e-106
29 0.000000e+00 5.531576e-85 2.589703e-110
30 0.000000e+00 1.178725e-88 5.518407e-114
31 0.000000e+00 1.449822e-92 6.787594e-118
32 0.000000e+00 1.415530e-96 6.627048e-122
33 0.000000e+00 1.521341e-100 7.122421e-126
34 0.000000e+00 1.792448e-104 8.391654e-130
35 0.000000e+00 2.326997e-108 1.089424e-133
36 0.000000e+00 4.811913e-112 2.252780e-137
37 0.000000e+00 6.006813e-116 2.812194e-141
38 0.000000e+00 1.572058e-119 7.359862e-145
39 0.000000e+00 1.688922e-123 7.906981e-149
40 0.000000e+00 3.349867e-127 1.568298e-152
41 0.000000e+00 5.375171e-131 2.516479e-156
42 0.000000e+00 9.421873e-135 4.411013e-160
43 0.000000e+00 1.263442e-138 5.915024e-164
44 0.000000e+00 1.828052e-142 8.558341e-168
45 0.000000e+00 1.676787e-146 7.850169e-172
46 0.000000e+00 9.540836e-151 4.466707e-176
47 0.000000e+00 3.980687e-155 1.863628e-180
48 0.000000e+00 1.430582e-159 6.697515e-185
49 0.000000e+00 2.411254e-164 1.128870e-189
50 0.000000e+00 2.122474e-169 9.936728e-195
51 0.000000e+00 3.761969e-174 1.761231e-199
52 0.000000e+00 2.032322e-179 9.514667e-205
53 0.000000e+00 1.053744e-184 4.933287e-210
54 0.000000e+00 6.358560e-190 2.976870e-215
55 0.000000e+00 3.389160e-195 1.586694e-220
56 0.000000e+00 3.617725e-200 1.693701e-225
57 0.000000e+00 1.997584e-205 9.352034e-231
58 0.000000e+00 1.432343e-210 6.705760e-236
59 0.000000e+00 5.964160e-216 2.792225e-241
60 0.000000e+00 3.575726e-221 1.674038e-246
61 0.000000e+00 1.347185e-226 6.307082e-252
62 0.000000e+00 7.123419e-232 3.334952e-257
63 0.000000e+00 1.653927e-237 7.743146e-263
64 0.000000e+00 5.837742e-243 2.733040e-268
65 0.000000e+00 1.170078e-248 5.477925e-274
66 0.000000e+00 5.319701e-254 2.490510e-279
67 0.000000e+00 8.062227e-260 3.774471e-285
68 0.000000e+00 3.978330e-265 1.862524e-290
69 0.000000e+00 4.666045e-271 2.184490e-296
70 0.000000e+00 1.037874e-276 4.858987e-302
71 0.000000e+00 8.920473e-283 4.176274e-308
72 0.000000e+00 1.028014e-288 4.812827e-314
73 0.000000e+00 5.222252e-295 2.444637e-320
74 0.000000e+00 5.057969e-301 0.000000e+00
75 0.000000e+00 2.370283e-307 0.000000e+00
76 0.000000e+00 4.527173e-313 0.000000e+00
77 0.000000e+00 2.938208e-320 0.000000e+00
78 0.000000e+00 0.000000e+00 0.000000e+00
79 0.000000e+00 0.000000e+00 0.000000e+00
80 0.000000e+00 0.000000e+00 0.000000e+00
81 0.000000e+00 0.000000e+00 0.000000e+00
